Data,Ora,Sport,Nome,Durata (h:mm),Durata (s),Distanza (km),FC media,FC max,Dislivello (m),Calorie,Carico allenamento,Sensazione (1-5),Dispositivo
2025-08-23,07:52,Walk,Napoli Camminata,0:53,3216,5.11,97,117,204,391,19,,Garmin Venu Sq 2
2025-08-23,08:56,Hike,Napoli Escursionismo,0:31,1864,2.72,104,137,107,227,15,,Garmin Venu Sq 2
2025-08-24,07:48,Walk,Napoli Camminata,1:09,4146,6.31,100,124,303,502,29,,Garmin Venu Sq 2
2025-08-25,08:17,Walk,Napoli Camminata,1:20,4859,7.59,108,134,451,614,51,,Garmin Venu Sq 2
2025-08-26,08:07,Walk,Napoli Camminata,1:07,4022,6.33,102,141,272,535,38,,Garmin Venu Sq 2
2025-08-27,07:52,Walk,Napoli Camminata,1:10,4209,6.53,107,138,268,563,41,,Garmin Venu Sq 2
2025-08-27,11:55,Rowing,Napoli Canottaggio,0:51,3109,4.33,112,150,,518,52,,Garmin Venu Sq 2
2025-08-28,07:45,Walk,Napoli Camminata,1:18,4710,7.33,107,132,296,589,44,,Garmin Venu Sq 2
2025-08-29,08:23,Walk,Napoli Camminata,1:12,4358,6.83,105,140,490,531,38,,Garmin Venu Sq 2
2025-08-30,08:35,Walk,Napoli Camminata,0:54,3278,5.08,107,124,327,418,28,,Garmin Venu Sq 2
2025-08-31,07:54,Walk,Napoli Camminata,1:19,4745,7.68,113,133,490,616,61,,Garmin Venu Sq 2
2025-09-01,07:50,Walk,Napoli Camminata,1:18,4681,7.23,108,135,395,627,45,,Garmin Venu Sq 2
2025-09-02,08:15,EBikeRide,Napoli eBiking,2:06,7572,35.78,,,323,1198,,,Garmin Edge 530
2025-09-03,07:57,Walk,Napoli Camminata,1:12,4339,6.76,105,131,303,508,37,,Garmin Venu Sq 2
2025-09-04,07:59,Walk,Napoli Camminata,1:07,4028,6.36,106,139,447,504,41,,Garmin Venu Sq 2
2025-09-05,05:57,EBikeRide,Napoli eBiking,1:49,6549,33.74,,,162,1036,,,Garmin Edge 530
2025-09-05,15:56,GravelRide,Napoli Gravel/Ciclismo su sterrato,1:26,5160,22.06,,,302,759,,,Garmin Edge 530
2025-09-06,08:36,Walk,Napoli Camminata,1:09,4149,6.74,100,132,466,596,32,,Garmin Venu Sq 2
2025-09-07,08:21,Walk,Napoli Camminata,1:23,5036,7.61,110,136,508,692,62,,Garmin Venu Sq 2
2025-09-08,07:50,Walk,Napoli Camminata,1:11,4293,6.8,116,146,470,585,61,,Garmin Venu Sq 2
2025-09-09,08:25,EBikeRide,Napoli eBiking,2:37,9434,44.96,,,360,1448,,,Garmin Edge 530
2025-09-10,07:58,Walk,Napoli Camminata,1:12,4324,6.93,110,134,507,535,49,,Garmin Venu Sq 2
2025-09-11,07:50,Walk,Napoli Camminata,1:11,4290,6.76,100,139,285,506,39,,Garmin Venu Sq 2
2025-09-12,07:38,EBikeRide,Napoli eBiking,2:38,9508,45.09,,,373,1444,,,Garmin Edge 530
2025-09-13,08:14,Walk,Napoli Camminata,1:07,4063,6.43,106,134,220,464,40,,Garmin Venu Sq 2
2025-09-14,08:08,Walk,Napoli Camminata,1:16,4608,7.56,94,123,487,499,27,,Garmin Venu Sq 2
2025-09-15,08:01,Walk,Napoli Camminata,1:10,4214,6.83,97,136,503,486,29,,Garmin Venu Sq 2
2025-09-15,12:11,Rowing,Napoli Canottaggio,0:27,1655,1.5,115,150,,393,26,,Garmin Venu Sq 2
2025-09-15,13:09,Rowing,Napoli Canottaggio,0:13,834,1.31,125,147,,171,18,,Garmin Venu Sq 2
2025-09-16,08:03,Walk,Napoli Camminata,1:13,4434,6.86,106,139,564,536,46,,Garmin Venu Sq 2
2025-09-17,09:21,Walk,Napoli Camminata,0:11,669,0.95,103,117,46,86,5,,Garmin Venu Sq 2
2025-09-17,10:35,Rowing,Napoli Canottaggio,0:11,706,1.0,121,149,,144,13,,Garmin Venu Sq 2
2025-09-17,11:31,Rowing,Napoli Canottaggio,0:12,746,1.03,114,144,,155,8,,Garmin Venu Sq 2
2025-09-19,07:28,Walk,Napoli Camminata,1:03,3825,6.06,103,128,257,446,32,,Garmin Venu Sq 2
2025-09-19,13:18,Rowing,Napoli Canottaggio,0:40,2410,3.0,119,150,,397,41,,Garmin Venu Sq 2
2025-09-20,07:52,Walk,Napoli Camminata,1:26,5184,8.44,105,139,533,646,45,,Garmin Venu Sq 2
2025-09-20,12:05,Rowing,Napoli Canottaggio,0:19,1158,1.33,118,136,,240,15,,Garmin Venu Sq 2
2025-09-21,08:10,Walk,Napoli Camminata,1:17,4637,7.59,108,130,436,567,49,,Garmin Venu Sq 2
2025-09-22,07:40,Walk,Napoli Camminata,1:10,4245,6.88,112,150,277,520,53,,Garmin Venu Sq 2
2025-09-24,07:57,Walk,Napoli Camminata,1:14,4455,7.0,100,125,303,510,33,,Garmin Venu Sq 2
2025-09-25,07:47,Walk,Napoli Camminata,1:16,4594,7.04,78,116,292,467,15,,Garmin Venu Sq 2
2025-09-26,08:02,Walk,Napoli Camminata,1:15,4527,7.08,106,123,426,541,46,,Garmin Venu Sq 2
2025-09-27,07:52,Walk,Napoli Camminata,1:03,3799,5.93,109,130,296,478,41,,Garmin Venu Sq 2
2025-09-28,07:47,Walk,Napoli Camminata,1:21,4866,7.66,103,145,458,558,40,,Garmin Venu Sq 2
2025-09-29,08:36,EBikeRide,Napoli eBiking,0:19,1158,6.49,,,53,228,,,Garmin Edge 530
2025-09-29,09:05,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:04,7481,35.18,,,316,1121,,,Garmin Edge 530
2025-10-01,07:37,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:33,9217,44.44,,,359,1380,,,Garmin Edge 530
2025-10-02,08:34,GravelRide,Napoli Gravel/Ciclismo su sterrato,0:38,2317,10.5,,,103,341,,,Garmin Edge 530
2025-10-03,08:08,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:36,9399,44.3,,,389,1354,,,Garmin Edge 530
2025-10-04,08:10,Walk,Napoli Camminata,1:14,4480,7.23,107,150,278,534,45,,Garmin Venu Sq 2
2025-10-05,08:48,Walk,Napoli Camminata,0:45,2753,4.36,115,127,235,423,37,,Garmin Venu Sq 2
2025-10-06,08:03,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:41,9664,45.05,,,379,1390,,,Garmin Edge 530
2025-10-07,08:16,Walk,Napoli Camminata,1:16,4611,7.39,101,146,301,591,35,,Garmin Venu Sq 2
2025-10-08,07:51,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:17,8258,38.41,,,358,1268,,,Garmin Edge 530
2025-10-09,07:40,Walk,Napoli Camminata,1:13,4401,6.81,94,131,381,487,24,,Garmin Venu Sq 2
2025-10-10,07:54,GravelRide,Napoli Gravel/Ciclismo su sterrato,2:35,9301,44.31,,,361,1367,,,Garmin Edge 530
