Data,FC a riposo,HRV (rMSSD),Sonno (ore),Punteggio sonno,SpO2 (%),Peso (kg),Massa grassa (%),VO2max,Passi,Forma (CTL),Fatica (ATL)
2025-08-22,,,,,,84.349,27.8,36.0,,,
2025-08-23,61,,,,,85.139,27.8,36.0,16431,0.4,2.5
2025-08-24,63,27.0,,,97.0,84.58,27.9,36.0,17120,1.1,6.1
2025-08-25,56,,,,,84.29,28.3,36.0,17570,2.3,12.0
2025-08-26,57,15.0,,,,83.94,27.6,36.0,14654,2.2,10.4
2025-08-27,61,52.0,,,94.0,84.54,27.5,36.0,14946,2.2,9.0
2025-08-28,65,,,,,84.449,27.8,36.0,15967,3.2,13.7
2025-08-29,65,,,,,84.449,27.8,36.0,17753,3.1,11.9
2025-08-30,66,,,,,85.0,28.1,36.0,16034,3.0,10.3
2025-08-31,56,,,,,84.87,28.0,36.0,25106,4.4,17.0
2025-09-01,64,,,,,84.099,28.0,36.0,19202,5.3,20.8
2025-09-02,59,,,,,83.779,27.6,,9653,5.2,18.0
2025-09-03,62,32.0,,,97.0,84.08,27.8,36.0,15357,5.1,15.6
2025-09-04,58,64.0,,,95.0,83.87,27.7,36.0,15067,5.0,13.5
2025-09-05,58,,,,,83.889,27.3,,6045,4.9,11.7
2025-09-06,62,,,,,,,36.0,15713,4.7,10.2
2025-09-07,57,,,,,,,36.0,18484,4.6,8.8
2025-09-08,58,28.0,,,,82.91,27.7,36.0,13694,4.5,7.6
2025-09-09,57,,,,,82.15,27.3,,8621,4.4,6.6
2025-09-10,62,,,,,83.22,27.4,36.0,15487,5.5,12.3
2025-09-11,55,,,,,,,36.0,18101,6.3,15.8
2025-09-12,56,,,,,83.669,27.1,,9013,6.1,13.7
2025-09-13,56,,,,,83.75,27.2,36.0,17098,6.9,17.2
2025-09-14,57,16.0,,,94.0,83.11,27.3,36.0,15600,6.7,14.9
2025-09-15,58,,,,,83.099,27.6,36.0,16798,7.2,16.4
2025-09-16,60,20.0,,,,83.15,27.3,36.0,14063,8.1,20.3
2025-09-17,61,43.0,,,92.0,83.9,27.5,36.0,21769,8.1,18.7
2025-09-18,62,,,,,,,,13089,7.9,16.2
2025-09-19,59,,,,,82.949,27.2,36.0,17637,7.7,14.0
2025-09-20,63,,,,,81.879,27.3,36.0,17965,7.9,14.2
2025-09-21,60,24.0,,,94.0,82.37,27.0,36.0,16717,8.9,18.8
2025-09-22,60,22.0,,,94.0,83.36,27.5,36.0,16052,8.7,16.3
2025-09-23,57,,,,,83.23,27.1,36.0,14789,8.5,14.1
2025-09-24,62,,,,,82.69,27.5,36.0,18069,8.3,12.3
2025-09-25,53,,,,,82.72,27.1,37.0,16377,8.1,10.6
2025-09-26,55,,,,,82.669,27.2,37.0,14371,9.0,15.3
2025-09-27,58,,,,,83.55,27.5,37.0,15009,8.7,13.3
2025-09-28,62,,,,,83.559,27.3,37.0,17544,8.5,11.5
2025-09-29,64,,,,,82.47,26.8,,5218,8.3,10.0
2025-09-30,59,,,,,,,,9469,8.1,8.7
2025-10-01,60,,,,,82.209,27.1,,12847,7.9,7.5
2025-10-02,54,,,,,82.86,27.6,,6871,7.8,6.5
2025-10-03,55,,,,,82.309,27.4,,5669,7.6,5.6
2025-10-04,63,,,,,,,37.0,17341,7.4,4.9
2025-10-05,57,99.0,,,96.0,,,37.0,13877,7.2,4.2
2025-10-06,59,,,,,82.879,27.2,,3749,7.1,3.7
2025-10-07,62,,,,,82.389,27.0,37.0,,6.9,3.2
2025-10-08,62,,,,,82.97,27.2,,,6.7,2.8
2025-10-09,62,,,,,83.3,27.4,37.0,,7.1,5.6
2025-10-10,62,,,,,82.58,27.3,,,7.0,4.8
2025-10-11,107,28.0,,,92.0,82.23,27.5,37.0,,6.8,4.2
2025-10-12,,,,,,,,37.0,,7.3,7.5
2025-10-13,107,,,,,82.849,27.5,,,7.2,6.5
2025-10-14,107,,,,,83.199,27.4,37.0,,7.0,5.6
2025-10-15,117,16.0,,,,,,37.0,,6.8,4.9
2025-10-16,59,61.0,,,90.0,83.349,27.4,37.0,,7.7,10.4
2025-10-17,107,,,,,82.62,27.4,37.0,,7.6,9.0
2025-10-18,,,,,,83.209,27.0,37.0,,8.6,14.8
2025-10-19,,,,,,82.93,27.2,37.0,,8.6,13.7
2025-10-20,,,,,,82.97,27.3,37.0,,9.6,18.6
